sex,Age,Married,Number_children,education_level,total_members,income,Happy?,gained_asset,durable_asset,save_asset,Total Asset,living_expenses,other_expenses,Total Expenses,depressed
1,28,1,4,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,23,1,3,8,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,22,1,3,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,27,1,2,10,4,22288055,0,52667108,19698904,49647648,122013660,397715,44042267,44439982,0
0,59,0,4,10,6,53384566,0,82606287,17352654,23399979,123358920,80877619,74503502,155381121,0
1,35,1,6,10,8,22688441,0,35937466,736707,23399979,60074152,30696127,11531066,42227193,0
0,34,0,1,9,3,26692283,1,41303144,21925041,23399979,86628164,66730708,10890451,77621159,1
1,21,1,2,10,4,9275569,0,12013633,20323505,48046108,80383246,80076849,58456101,138532950,0
1,32,1,7,9,9,32564587,0,11087568,25224208,80076851,116388627,30162281,67184479,97346760,0
1,29,1,4,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,84,0,0,1,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,59,0,2,9,3,66730709,0,1018915,47245342,23399979,71664236,262919,30108896,30371815,0
1,38,1,4,10,6,72069163,0,12390944,19186414,23399979,54977337,10810375,498078,11308453,0
1,27,1,4,10,6,3109651,0,16521259,37155658,23399979,77076896,21220366,10506083,31726449,0
1,56,1,0,12,2,43775349,1,93596368,21140288,5925687,120662343,34566505,72469551,107036056,1
1,24,1,2,10,5,21353827,0,1108353,12219727,1601537,14929617,38169963,37860336,76030299,0
1,25,1,3,10,5,6406148,0,37172832,75432396,80076847,192682075,40705733,40278656,80984389,0
1,44,1,5,12,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,32,1,4,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,26,1,2,7,4,42707653,0,82606287,20419597,23399979,126425863,25357668,99295292,124652960,0
1,40,0,0,7,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,55,0,0,6,1,48046109,1,17142671,83440079,24023056,124605806,16495831,42985252,59481083,1
1,34,1,3,10,5,30028818,0,28912201,1905829,23399979,54218009,49380727,30221003,79601730,0
1,43,1,4,4,9,58322639,1,12390944,18978214,80076847,111446005,18684598,23542593,42227191,1
1,51,1,2,12,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,28,1,3,10,5,92088375,0,75696259,46604727,23399979,145700965,53384566,67264552,120649118,0
1,53,1,4,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,26,1,3,11,5,44042268,0,37172832,27146051,23399979,87718862,15481524,41639961,57121485,0
1,23,1,2,8,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,36,1,5,12,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,27,1,3,8,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,44,0,3,8,4,80076847,0,53694088,44843037,24023056,122560181,30696127,39557964,70254091,0
0,40,1,5,11,9,25144131,0,24781887,51393323,23399979,99575189,60057635,28909344,88966979,0
1,19,1,2,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,27,1,3,8,5,93422985,0,82477118,21941057,80076847,184495022,77407622,15086478,92494100,0
1,31,1,2,10,4,1134422,0,20651573,3119794,32030739,55802106,11611143,28026898,39638041,0
1,27,1,3,10,5,28827665,0,28912201,68065323,23399979,120377503,28694205,52049952,80744157,0
1,27,1,4,8,6,3203074,0,11151849,17360661,11210759,39723269,48046112,28187052,76233164,0
0,35,0,0,13,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,43,0,2,1,4,18417675,1,41303144,14093526,23399979,78796649,37369196,88084536,125453732,1
1,22,1,2,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,41,1,6,10,8,14914313,0,86736603,13677126,23399979,123813708,41373043,16623955,57996998,0
1,20,1,2,9,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,18,1,2,9,3,64061481,0,22375139,16816139,40038424,79229702,26158438,3867712,30026150,0
1,38,1,5,9,8,10276529,0,10429825,12892372,23399979,46722176,25357668,87283764,112641432,0
0,24,0,2,7,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,26,1,1,8,3,28026898,0,22375139,17616907,23399979,63392025,13346142,86483002,99829144,0
1,26,1,3,6,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,37,1,5,10,8,41639962,1,47847064,59609204,1601537,109057805,15881909,81838539,97720448,1
1,23,1,4,14,6,21353827,1,82606287,59625221,23399979,165631487,66730708,17616907,84347615,1
1,28,0,4,10,5,10009606,0,57142133,25064053,14413834,96620020,36034582,15695063,51729645,0
1,19,1,1,7,3,30028818,0,22375139,20819981,23399979,66595099,66730708,23382441,90113149,0
1,35,1,3,9,5,26692283,0,41303144,37556042,23399979,102259165,20019212,32030739,52049951,0
1,53,1,3,8,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,33,1,3,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,19,1,2,6,4,24023056,0,41303144,13372833,23399979,78075956,26692283,42280579,68972862,0
1,26,1,3,10,5,33365355,0,28912201,18417676,23399979,70729856,53384566,38757195,92141761,0
